Problem_ID,y_Target,Newton_absTime,Newton_iterSteps,GMGF_absTime,GMGF_iterSteps,x0,f(x0),f'(x0),f''(x0),kappa
P_421a5658dcc43d99,-0.297391,0.000824106,23,0.000406926,6,2.099238617866199,-0.011062042098114974,0.0349870523112508,-0.09779921396609761,-25
P_19e753da899c8060,7.65644,0.000254736,5,0.000688226,5,-0.8811182604977539,7.6183513084675,-0.12961564538223364,0.2729379877147379,16
P_76c17bceea1af3e,9.82587,0.00030177,8,0.000281596,8,128.3115279161383,18.235232324196414,0.049174784199199933,-0.0007075346286257187,0
P_b93a695eb979011,0.0988041,0.000215386,5,0.000230605,4,1.4414557806604664,0.09484204586215282,-0.01071596817739712,0.0012107707392340428,11
P_7d598f8afb7b142b,30.0736,0.000334029,9,0.000276921,9,174.99069798658792,44.24501548448408,0.0590312762294187,-0.0008220708235025151,0
P_52741cea490cbb53,0.609877,0.000352105,7,0.000699634,6,0.8717214970390437,0.6559347434809844,-0.1683296160083013,0.16722877557264737,6
P_2f528361dd3ea780,15.98,0.000525342,15,0.000281805,8,37.69626233186872,23.6170321612594,0.0716619279572491,-0.006529994698862219,-1
P_1e7442839f1fd33,10.7728,0.000299797,8,0.000238784,8,12.460818755376934,40.90245816178653,1.8286295876534666,-0.15771630668442324,0
P_588f3bf3c82bd05e,49418.4,0.000217936,4,0.000414949,16,285.92249174758,6949.2243187676495,-363.74770520412017,21.584259205863116,0
P_19db1995b3211367,1.45443,0.0701521,1500,0.000219878,5,4.836071204733724,0.43190641450178574,-0.11133562971289475,0.02869978779515339,2
P_24af5bff6329ef81,1.10126,0.000268656,7,0.000368046,6,15.29964060554795,0.6078339415063709,0.033155473946859054,-0.0007616116498277923,-1
P_48f1993cdefbe1d4,0.272102,0.000216031,5,0.000258947,5,4.2566194704460685,0.31668673291062477,-0.07334377037708636,0.01698621411666436,3
P_302de37fd0d58836,9.07862,0.000429656,12,0.000373497,12,100.9210028127481,31.525243384740325,0.07839308008902741,-0.0018106894072933556,0
P_5645486e49215812,-0.474341,0.000352704,6,0.00117932,9,6.164585412927501,4.1458730836027815,-5.97039409188978,-4.222949532626339,0
P_46590e06d4a4b95a,0.558402,0.000262926,6,0.0002107,5,4.654582357278546,0.37770049666482997,-0.10674059936353009,0.030165582658993006,3
P_5c94bc65d6a5254,-0.713373,0.000256592,6,0.000219285,5,0.1231298900741713,-0.9833149554753275,0.35398369810964353,-0.12748298507192843,-1
P_5e05284159050d05,9.17435,0.000352655,8,0.0181815,101,1.6320207384956191,1.6369721130213577,8.800796566806879,20.165448219728567,0
P_38ed4e2093bd8b7e,1.36247,0.00024594,5,0.000422976,5,9.793847264297803,1.2260055656018087,5.537295283599638,-17.968137432013187,-1
P_3b62c8dc978c8dda,11.8577,0.000237233,6,0.000250864,6,127.15259559949243,10.91989282023905,0.03602734361423729,-0.0004371338143102422,0
P_467d1d96d1cd1751,1002.28,0.000246261,6,0.000181427,6,283.43124974469447,1827.353426484245,-61.524667806114564,2.5055991229636727,0
P_1a88481effcaeefe,-2.2478,0.000250189,6,0.000325194,5,1.7828690661970423,-3.4130611871046472,0.3827731365162217,0.16060175744082517,1
P_63513568e289a10d,0.0803312,0.000260295,5,0.000622236,5,1.9822965779121766,0.091686593132076,0.09817931384104739,-0.12460485751023283,-13
P_234dcb8428bf30d6,836.785,0.00338572,80,0.000612328,16,0.7596056169085799,3.4796259635806943,0.6630114072232853,35.38559303760555,25
P_42050258b8771095,-2.34272,0.000315317,6,0.000241018,6,2.501621422501172,-2.8552564702552945,0.30003258139647404,-0.03152765814112068,0
P_350acba1d8e0b206,-0.000391999,0.000428698,11,0.000903212,10,1.112063282577421,-0.08835152457688994,0.12543798119764055,-0.17809180272257524,-11
P_24dac76273a8a15a,-0.62477,0.000215344,5,0.000338303,5,0.4589261701243714,-0.8092191585471479,3.2749104921430545,-12.857877888021564,-1
P_24fe5a204c32e486,-1.6639,0.0001128,2,0.00432194,9,0.38056298498885965,0.0018635197731613291,0.04407068939021773,0.926430537593237,25
P_d30a0e49388cb44,2918.4,0.000247441,5,0.000274031,5,-1.6767250331966466,3818.274386082908,-26418.611761801258,166716.84833879658,0
P_3ff22c4a1272f025,31.53,0.00916645,222,0.403921,1500,-9.897782713167711,-3.2435116605385224,-1.3103872410541917,12.736950287314901,7
P_113426327e1f73c0,136.784,0.00042572,9,0.00124773,9,-6.128594377668421,30.704334117335897,-16.13740657112544,33.43139456368276,0
P_5377d8cf75ab7e21,4.32278,0.000494171,9,0.250134,1500,4.551154056835223,4.8150314138687715,-0.13042716626308293,-0.3599044366039478,-21
P_5658f9514bfb2843,-64.7084,0.000922274,17,0.0090272,51,2.741918719448819,4.715199904306448,-29.288944537251943,-23.6329899547189,0
P_44950a809fe20184,11.0266,0.000717599,21,0.000253594,7,104.61117283509921,23.206559580184006,0.024687326549857582,-0.0008193389398723067,-1
P_2b9ee4f7ff8e79c,4084.7,0.000217801,4,0.000438911,17,316.2398469981963,642.7200521024911,-21.375920847637943,0.8461196247535038,0
P_54861f9692c391f1,27643.9,0.000342725,9,0.000252567,9,275.99485830160927,8318.296562740845,-516.7619437799796,35.847797503581724,0
P_7b39c2bf10c8e206,2108.14,0.000328434,8,0.000440082,8,4.133298039303426,273.8237409297866,210.9109103704673,144.68415465205004,0
P_183f67c9b3beb5d2,0.600011,0.00140493,39,0.000405953,6,1.400785032543725,0.016219918988525737,-0.0630248270902306,0.24463744905408927,25
P_7bda93f7fbb804ce,-0.0119562,0.000251145,6,0.000574948,6,2.2541485954092995,-0.006508332123148016,0.01805175352246463,-0.04853809633284922,-25
P_56a400ba7ba77e59,0.0957133,0.000306886,5,0.00315211,29,1.665267187753102,0.10052109489939938,-0.014726832181703975,0.11517839696920112,25
P_3ff9afd8bfae8bc3,0.11635,0.000267389,5,0.000342225,4,0.4000298222564105,0.14297021455899842,0.31309634891237437,-1.2094034972852652,-12
P_7f22a699008cf2ce,-5417.39,0.00177819,49,0.000378207,11,-0.8439233091279341,-1.9573240846011897,8.505735035905879,-80.99211428706293,-1
P_300b5fa3d3998689,1.31854,0.000273491,5,0.000259848,5,3.4920369762022343,1.20052729958497,-0.1867853240796236,0.029061194446466383,1
P_356c3874077657e3,-3.98149,0.000246597,6,0.000550878,6,4.67294542665995,-1.7991783543651803,-1.283957128108163,-3.965657973066482,-2
P_338e8a442fc6b355,64.5175,0.000300972,8,0.000238268,8,14.828640407757462,14.105177750239939,0.5352227104010592,-0.0048930132218376774,0
P_410f1793eb3e1023,-1.39351,0.000218747,5,0.000225796,5,2.5391143512471945,-1.6942601902855627,0.5391174776953305,-0.1715484176651683,-1
P_14893a1c35c59d9,0.176599,0.000307127,6,0.000391224,5,0.4537390491441826,0.16885570931529298,0.16702719162830776,-0.7543231728311102,-25
P_6818c0f16656a3b5,23.6189,0.000236544,6,0.000182226,6,271.27721475340127,48.38618319965798,0.14203063407559033,-0.0004599201703460561,0
P_2aa89af5cf835080,4929.54,0.000309265,8,0.000227778,8,254.51438453498525,22629.216676820863,-1383.3351730247161,95.43435011644556,0
P_6ccfe50efde89153,57.5064,0.00036226,10,0.000277116,8,757.4759198860838,39.78400963212117,0.018979852424346945,-1.9988507598184116e-05,0
P_14e4115c5c773209,-5662.66,0.000695104,16,0.000754306,16,-3.1108213217908727,461.8701472078852,-305.80660187514013,63.535685406147564,0
P_6c5fdc370e078504,0.353469,0.000259469,5,0.000320229,4,0.3850652946410129,0.3619017547184327,0.3984175295580348,-1.8077562073071496,-11
P_354050d2498557cd,0.151999,0.000217546,4,0.000483609,4,0.7098372717554309,0.15238004606360062,-0.15824195895704588,-0.42323278195495917,-17
P_5d24e883b7112af2,1.51176,0.000465813,12,0.000398912,6,0.9900486417256342,0.19092803451266085,-0.569527639063653,1.6971926325039124,5
P_462a2b4971364a85,1343.66,0.000340867,9,0.000251893,9,288.2854800146821,371.7791110930219,-21.199317418535436,1.3558837192299047,0
P_6c4758cc2fe36893,2.67126,0.000502083,13,0.000437701,7,2.1796843964635055,0.2519177521158798,-0.3491781845542045,0.44620265066622444,4
P_59e860a961394ca4,-3.628,0.000257186,6,0.000242238,6,2.9263882367471483,-3.001381204368181,0.4633202563734484,-0.0715222910217255,0
P_35ae94d4ca8e73ee,1.56702,0.00472073,137,0.000254774,6,3.171288956615202,0.9497140441163401,-0.15437631514422387,0.025093918348531127,1
P_41e3a11acba034dd,-10000.0,0.000892818,25,0.00160683,25,-2.1499524373243872,4541.566764063309,-23210.958685089663,107957.51450329779,0
P_22a97b2fdc1bf2b9,0.259639,0.000574215,12,0.00368452,40,7.184615360399789,0.208302305083081,-0.0624561805714524,0.295060555165528,25
P_5fdaeac8beca14c6,0.0239042,0.000261127,5,0.000533526,5,0.5134711343030016,0.5206266697432249,-5.822116654069591,-22.164179642572755,-1
P_22a97b2fdc1bf2b9,0.121622,0.000532982,11,0.132153,1500,7.184615360399789,0.208302305083081,-0.0624561805714524,0.295060555165528,25
P_2bf66c0c47bd2f59,-0.755497,0.00405666,115,0.000378595,6,3.1088648005479556,-0.2084220083151417,0.13453841446530426,-0.08684584278388317,-5
P_3d3172ce9768f7ff,3333.33,0.000321645,8,0.000314096,8,9.070911987654561,33849.452308241904,14927.294968851436,4936.899815474424,0
P_2c2c65ca08f48299,-0.0528469,0.000774337,21,0.0557434,853,1.347424864641443,-0.003592204939469384,0.014372907260454535,-0.055225357053780386,-25
P_1ddb9c88d9b51f5f,84.2529,0.000236921,6,0.000181296,6,1707.7106258821132,98.37776556316325,0.023527542363769572,-2.4840670750665174e-05,0
P_cd15df2047ce4a0,-2.86317,0.00027767,5,0.000230883,5,2.604557475780097,-2.6989952565522723,0.2723423911446954,-0.027480736705390273,0
P_1de5c0b660fdf149,46.0895,0.00039346,11,0.000316729,11,205.32968552216755,68.92546132248755,0.054961668576208655,-0.0007878073224403039,0
P_4299dd0fb13581f9,-314.736,0.000287594,5,0.000275631,5,7.8085047726788375,-433.3749308395582,-166.15024048555762,-28.451793033335576,0
P_17ccc4ca50ed7335,62.312,0.000519825,15,0.000207718,7,396.75866081673087,120.26784866818933,0.010546732853988128,-0.00013104554064066574,-1
P_322aebbf8cf96037,0.152513,0.00091198,20,0.00833005,93,5.036062347558456,0.5728533126034154,0.3807865827907294,-0.3449752593727119,-2
P_54861f9692c391f1,9906.88,0.000210978,5,0.000157591,5,275.99485830160927,8318.296562740845,-516.7619437799796,35.847797503581724,0
P_7f22a699008cf2ce,-7083.79,0.00184465,50,0.000405826,12,-0.8439233091279341,-1.9573240846011897,8.505735035905879,-80.99211428706293,-1
P_314b66c4a0aa4081,30.4923,0.00183533,56,0.00029916,10,19.759792390956022,63.118585757710306,0.14529987001934017,-0.034070656275274565,-2
P_4430119a46a03b21,0.0345913,0.000412908,7,0.000581742,5,0.9555296053055748,-2.5318414673952883,2.3570967033207557,11.124717704681856,2
P_11748d8ea095e212,63.8511,0.000364934,10,0.000263813,8,823.810600586613,47.935698708552565,0.024946816458872863,-3.803644165909738e-05,0
P_2bf66c0c47bd2f59,-0.870624,0.00739514,211,0.000377074,6,3.1088648005479556,-0.2084220083151417,0.13453841446530426,-0.08684584278388317,-5
P_48693bd23f9d714d,119.295,0.000332939,9,0.000254425,9,423.23577891693276,45.71266839840416,0.09367496698005646,-9.722695314699599e-05,0
P_308839b4a2e23f1a,0.103136,0.000344803,7,0.0004452,6,0.12023661897014648,0.049367800192444536,0.33128229518783053,-1.1946924465933535,-11
P_74df775bbd5383f7,2500.0,0.000544741,14,0.00150281,14,-1.7078375621972626,88.34142044370883,-345.83371879699445,1219.7606537367635,0
P_11d54e57b5b1b7d0,28744.7,0.000373042,10,0.000275432,10,281.43699892391936,6553.308518449604,-327.98307362339244,18.745825845055894,0
P_4129cdbf47ff74e,1.45904,0.000213952,4,0.000304534,4,0.054816184770778376,1.528538462241262,-137.5256469995653,3117.519418313519,0
P_673d2666e81f1e8d,1.25612,0.000354259,7,0.000588214,5,1.2356322267773212,1.3433816396209137,-0.3131684022090994,0.3477138018883259,4
P_6d138261d36c4960,-33.4894,0.00202341,37,0.00626806,37,5.907815823511022,-1.294216628155614,-18.982581367813342,46.841410839230164,0
P_7215fd25bfff5e58,98.0998,0.000395501,11,0.000302797,11,48.69914470849629,117.78455174422218,0.26892406769434,-0.019279757510656303,0
